# B2  M_xy  beta  p  rho  v2
  2.000000e-02  -0.000000e+00   2.510514e+03   9.989020e-01   9.989020e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.512967e+03   9.998779e-01   9.998779e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.512967e+03   9.998779e-01   9.998779e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.510514e+03   9.989020e-01   9.989020e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.505616e+03   9.969529e-01   9.969529e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.498286e+03   9.940364e-01   9.940364e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.498286e+03   9.940364e-01   9.940364e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.505616e+03   9.969529e-01   9.969529e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.510514e+03   9.989020e-01   9.989020e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.512967e+03   9.998779e-01   9.998779e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.512967e+03   9.998779e-01   9.998779e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.510514e+03   9.989020e-01   9.989020e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.505616e+03   9.969529e-01   9.969529e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.498286e+03   9.940364e-01   9.940364e-01   1.154939e-01
  2.000000e-02  -0.000000e+00   2.498286e+03   9.940364e-01   9.940364e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.505616e+03   9.969529e-01   9.969529e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.510514e+03   9.989020e-01   9.989020e-01   1.154938e-01
  2.000000e-02  -0.000000e+00   2.512967e+03   9.998779e-01   9.998779e-01   1.153913e-01
  2.000000e-02  -0.000000e+00   2.512967e+03   9.998779e-01   9.998779e-01   1.154938e-01
