# B2  M_xy  beta  p  rho  v2
  2.031034e-02  -1.331633e-05   2.445172e+03   9.879997e-01   9.934760e-01   1.350715e-01
  2.023842e-02  -5.299199e-06   2.459313e+03   9.901947e-01   9.945755e-01   1.333884e-01
  2.003852e-02   4.383821e-06   2.491275e+03   9.931557e-01   9.957164e-01   1.327461e-01
  1.980134e-02   9.993071e-06   2.527452e+03   9.956521e-01   9.962557e-01   1.323739e-01
  1.892307e-02   3.032483e-05   2.650828e+03   9.979370e-01   9.973704e-01   1.386595e-01
  1.916981e-02  -1.953777e-05   2.603019e+03   9.927167e-01   9.940888e-01   1.403350e-01
  1.981849e-02  -1.836896e-05   2.513290e+03   9.909304e-01   9.933575e-01   1.328813e-01
  1.995856e-02  -1.701229e-05   2.493066e+03   9.899040e-01   9.938728e-01   1.337930e-01
  2.012466e-02  -1.183469e-05   2.472469e+03   9.898957e-01   9.940589e-01   1.327079e-01
  2.012453e-02  -1.025063e-05   2.469577e+03   9.887317e-01   9.935972e-01   1.332110e-01
  2.002093e-02  -8.414466e-06   2.489639e+03   9.916326e-01   9.949292e-01   1.318962e-01
  1.991205e-02  -4.982883e-06   2.505355e+03   9.924655e-01   9.945911e-01   1.322468e-01
  2.037823e-02  -1.682377e-05   2.457607e+03   9.963433e-01   9.977200e-01   1.432319e-01
  2.112773e-02  -7.906801e-06   2.361644e+03   9.926528e-01   9.946260e-01   1.362118e-01
  2.036782e-02   4.745574e-06   2.439881e+03   9.886517e-01   9.928297e-01   1.361713e-01
  2.058004e-02   3.225487e-06   2.414662e+03   9.886279e-01   9.938063e-01   1.358520e-01
  2.036272e-02   7.382839e-06   2.437487e+03   9.874344e-01   9.930801e-01   1.352749e-01
  2.035706e-02   2.730402e-06   2.445198e+03   9.902828e-01   9.944884e-01   1.337508e-01
  1.996324e-02   2.514563e-06   2.498327e+03   9.922258e-01   9.951355e-01   1.335481e-01
  1.994745e-02  -5.144738e-06   2.509125e+03   9.957258e-01   9.963921e-01   1.325892e-01
  1.842411e-02  -6.382394e-06   2.723560e+03   9.982827e-01   9.974020e-01   1.376536e-01
  1.864450e-02   8.049951e-06   2.678091e+03   9.933589e-01   9.936090e-01   1.367850e-01
  2.001281e-02   6.656286e-06   2.490687e+03   9.916475e-01   9.937871e-01   1.330208e-01
  2.005953e-02   6.896862e-06   2.482085e+03   9.905297e-01   9.940021e-01   1.338731e-01
  2.006095e-02   7.411532e-06   2.480012e+03   9.897726e-01   9.941801e-01   1.329152e-01
  2.017644e-02   7.887339e-06   2.463260e+03   9.887467e-01   9.934193e-01   1.332623e-01
  1.988470e-02   1.554267e-06   2.504569e+03   9.907914e-01   9.942257e-01   1.320127e-01
  1.992512e-02  -3.212235e-06   2.502902e+03   9.921449e-01   9.943457e-01   1.325270e-01
  1.998633e-02  -1.244398e-05   2.506341e+03   9.965594e-01   9.978025e-01   1.434372e-01
  2.173280e-02  -1.248166e-05   2.292868e+03   9.913454e-01   9.945887e-01   1.393248e-01
  2.054915e-02  -7.367193e-06   2.414985e+03   9.872760e-01   9.920844e-01   1.358147e-01
  2.054334e-02  -5.374068e-06   2.416089e+03   9.874476e-01   9.930731e-01   1.355734e-01
  2.029245e-02  -3.528713e-06   2.444191e+03   9.867332e-01   9.926172e-01   1.348689e-01
  2.026934e-02  -4.938299e-07   2.455186e+03   9.900434e-01   9.944635e-01   1.337599e-01
  2.027698e-02   5.047136e-06   2.461378e+03   9.929144e-01   9.957935e-01   1.339662e-01
  1.998229e-02   1.255651e-05   2.505459e+03   9.960080e-01   9.966664e-01   1.331017e-01
  1.907265e-02   1.069497e-05   2.635482e+03   1.000003e+00   9.984073e-01   1.376111e-01
  1.867304e-02  -3.011781e-05   2.676611e+03   9.943295e-01   9.941945e-01   1.349897e-01
  2.005971e-02  -1.621416e-05   2.485190e+03   9.917779e-01   9.939583e-01   1.328105e-01
  2.008869e-02  -1.684473e-05   2.478447e+03   9.905158e-01   9.941421e-01   1.333046e-01
  2.018482e-02  -1.014975e-05   2.465672e+03   9.901258e-01   9.944925e-01   1.332249e-01
  2.021298e-02  -1.038357e-05   2.460974e+03   9.896178e-01   9.941509e-01   1.335942e-01
  2.006881e-02  -9.947616e-06   2.480722e+03   9.904437e-01   9.939788e-01   1.323343e-01
  1.982562e-02  -4.695373e-06   2.514516e+03   9.917709e-01   9.940728e-01   1.325367e-01
  1.936281e-02   4.374912e-06   2.585312e+03   9.958903e-01   9.968909e-01   1.421536e-01
  2.136402e-02  -1.447840e-05   2.333085e+03   9.916163e-01   9.948654e-01   1.395405e-01
  2.056606e-02   5.187296e-06   2.414272e+03   9.877965e-01   9.923165e-01   1.356740e-01
  2.057734e-02   1.389490e-06   2.413601e+03   9.880632e-01   9.931582e-01   1.352151e-01
  2.014639e-02   6.294519e-06   2.463762e+03   9.874752e-01   9.929293e-01   1.347770e-01
  2.028785e-02   4.198889e-06   2.452854e+03   9.900064e-01   9.942326e-01   1.336913e-01
  2.014525e-02   4.261289e-06   2.477375e+03   9.928752e-01   9.955966e-01   1.344319e-01
  1.997591e-02  -1.280174e-06   2.506056e+03   9.959270e-01   9.966632e-01   1.333609e-01
  1.991282e-02  -2.044745e-05   2.525059e+03   1.000310e+00   9.992388e-01   1.382366e-01
  1.932352e-02   3.275048e-05   2.593979e+03   9.972012e-01   9.960787e-01   1.329562e-01
  2.013990e-02   1.319332e-05   2.478185e+03   9.929358e-01   9.947818e-01   1.326179e-01
  2.029684e-02   1.457244e-05   2.456219e+03   9.918035e-01   9.948875e-01   1.329940e-01
  2.030278e-02   3.525523e-06   2.453449e+03   9.909747e-01   9.948908e-01   1.336445e-01
  2.020031e-02   3.788220e-06   2.464304e+03   9.903359e-01   9.945955e-01   1.338160e-01
  2.007450e-02  -2.269961e-06   2.479737e+03   9.903311e-01   9.939759e-01   1.329907e-01
  1.989112e-02  -5.657371e-06   2.504735e+03   9.911770e-01   9.936981e-01   1.331911e-01
  1.897273e-02  -8.683159e-06   2.633235e+03   9.939156e-01   9.951924e-01   1.408354e-01
  2.024378e-02  -1.193150e-05   2.460262e+03   9.908390e-01   9.934560e-01   1.389297e-01
  2.043065e-02  -5.857912e-06   2.433259e+03   9.890102e-01   9.928139e-01   1.360050e-01
  2.021946e-02  -6.529017e-07   2.458337e+03   9.888742e-01   9.935207e-01   1.354017e-01
  2.006576e-02   1.440329e-06   2.477838e+03   9.891423e-01   9.937541e-01   1.347681e-01
  2.019519e-02   3.989251e-06   2.465028e+03   9.903757e-01   9.945621e-01   1.338130e-01
  2.018789e-02   8.835768e-07   2.472641e+03   9.930750e-01   9.958479e-01   1.343437e-01
  1.996209e-02   6.238040e-06   2.506401e+03   9.953748e-01   9.964252e-01   1.334639e-01
