# Spin Glass MC Results T=1.50
# Columns: sweep  energy_density  magnetization_density  overlap  overlap_squared
   157      -1.18913170       0.18750000       0.59375000       0.35253906
   158      -1.28964668       0.15625000       0.37500000       0.14062500
   159      -1.31165508       0.25000000       0.46875000       0.21972656
   160      -1.29846010       0.12500000       0.37500000       0.14062500
   161      -1.41289604       0.03125000       0.46875000       0.21972656
   162      -1.35010889       0.03125000       0.50000000       0.25000000
   163      -1.27619405       0.00000000       0.65625000       0.43066406
   164      -1.19082979       0.00000000       0.43750000       0.19140625
   165      -1.42481374       0.00000000       0.46875000       0.21972656
   166      -1.38440486       0.09375000       0.43750000       0.19140625
   167      -1.31779265       0.03125000       0.43750000       0.19140625
   168      -1.39437249       0.09375000       0.56250000       0.31640625
   169      -1.36974810       0.12500000       0.37500000       0.14062500
   170      -1.26772433       0.03125000       0.31250000       0.09765625
   171      -1.26502748       0.00000000       0.34375000       0.11816406
   172      -1.24790827       0.21875000       0.40625000       0.16503906
   173      -1.14364407       0.15625000       0.50000000       0.25000000
   174      -1.28174129       0.12500000       0.65625000       0.43066406
   175      -1.25131391       0.00000000       0.37500000       0.14062500
   176      -1.11080627       0.03125000       0.37500000       0.14062500
   177      -1.27409199       0.12500000       0.37500000       0.14062500
   178      -1.28973295       0.12500000       0.53125000       0.28222656
   179      -1.32567800       0.03125000       0.56250000       0.31640625
   180      -1.13665766       0.12500000       0.46875000       0.21972656
   181      -1.25052964       0.18750000       0.50000000       0.25000000
   182      -1.24463559       0.06250000       0.56250000       0.31640625
   183      -1.21032426       0.00000000       0.34375000       0.11816406
   184      -0.95854319       0.12500000       0.34375000       0.11816406
   185      -1.06197297       0.12500000       0.18750000       0.03515625
   186      -1.19418780       0.12500000       0.40625000       0.16503906
   187      -1.31542904       0.15625000       0.62500000       0.39062500
   188      -1.26530675       0.03125000       0.31250000       0.09765625
   189      -1.13810897       0.03125000       0.56250000       0.31640625
   190      -1.31090331       0.15625000       0.68750000       0.47265625
   191      -1.37961174       0.06250000       0.56250000       0.31640625
   192      -1.33319245       0.06250000       0.53125000       0.28222656
   193      -1.28085627       0.00000000       0.59375000       0.35253906
   194      -1.26693573       0.00000000       0.50000000       0.25000000
   195      -1.34147096       0.03125000       0.37500000       0.14062500
   196      -1.23986968       0.03125000       0.50000000       0.25000000
   197      -1.23533872       0.09375000       0.46875000       0.21972656
   198      -1.38070315       0.15625000       0.65625000       0.43066406
   199      -1.34811515       0.03125000       0.68750000       0.47265625
   200      -1.36874518       0.09375000       0.65625000       0.43066406
   201      -1.22667425       0.00000000       0.71875000       0.51660156
   202      -1.35436643       0.09375000       0.71875000       0.51660156
   203      -1.19925575       0.21875000       0.68750000       0.47265625
   204      -1.19410937       0.09375000       0.53125000       0.28222656
   205      -1.40916263       0.09375000       0.56250000       0.31640625
   206      -1.33958783       0.06250000       0.68750000       0.47265625
   207      -1.30515859       0.06250000       0.71875000       0.51660156
   208      -1.48555980       0.09375000       0.71875000       0.51660156
   209      -1.38237962       0.12500000       0.46875000       0.21972656
   210      -1.31564891       0.12500000       0.43750000       0.19140625
   211      -1.37144169       0.12500000       0.34375000       0.11816406
   212      -1.24003669       0.06250000       0.43750000       0.19140625
   213      -1.24941641       0.06250000       0.18750000       0.03515625
   214      -1.30989172       0.03125000       0.34375000       0.11816406
   215      -1.26729829       0.09375000       0.46875000       0.21972656
   216      -1.41977588       0.03125000       0.59375000       0.35253906
   217      -1.18781525       0.00000000       0.62500000       0.39062500
   218      -1.14542523       0.06250000       0.56250000       0.31640625
   219      -1.10764250       0.06250000       0.40625000       0.16503906
   220      -1.15936021       0.15625000       0.68750000       0.47265625
   221      -1.31590883       0.00000000       0.59375000       0.35253906
   222      -1.33012033       0.12500000       0.43750000       0.19140625
   223      -1.24196043       0.18750000       0.46875000       0.21972656
   224      -1.17657425       0.18750000       0.53125000       0.28222656
   225      -1.20199005       0.03125000       0.46875000       0.21972656
   226      -1.34330555       0.03125000       0.68750000       0.47265625
   227      -1.32874923       0.03125000       0.59375000       0.35253906
   228      -1.20817963       0.15625000       0.59375000       0.35253906
   229      -1.39352136       0.12500000       0.71875000       0.51660156
   230      -1.43252978       0.09375000       0.68750000       0.47265625
   231      -1.40066079       0.09375000       0.75000000       0.56250000
   232      -1.30558050       0.03125000       0.62500000       0.39062500
   233      -1.43551120       0.06250000       0.56250000       0.31640625
   234      -1.28538017       0.12500000       0.43750000       0.19140625
   235      -1.14866365       0.12500000       0.59375000       0.35253906
   236      -1.40308680       0.12500000       0.59375000       0.35253906
   237      -1.35530826       0.03125000       0.43750000       0.19140625
