TITLE = "reactor_result.dat"
VARIABLES = "X", "Y", "Temperature"
ZONE N=66 E=102 F=FEPOINT ET=TRIANGLE
          54            46            47
          22            23            30
          22            14            23
          23            15            24
          14            15            23
          15             7             8
          15            14             7
          12            13            19
          29            28            21
          10             4             1
          17             4            10
           4            17             9
           9            16             8
          16            15             8
          15            16            24
          17            16             9
          11             6            12
           6            11             5
          48            55            54
          52            53            59
          52            58            51
          58            52            59
          31            32            40
          31            23            24
          32            31            24
          23            31            30
          13            20            19
          20            13            21
          28            20            21
           3             9             2
           3             4             9
           4             3             1
          25            32            24
          16            25            24
          32            25            33
          25            26            33
          25            16            17
          26            25            17
          18            11            19
          11            18            10
          18            17            10
          18            26            17
          43            34            35
          26            34            33
          57            62            61
          58            62            57
          41            32            33
          32            41            40
          40            41            48
          41            49            48
          56            49            57
          56            57            61
          60            56            61
          49            56            48
          56            55            48
          55            56            60
          50            43            51
          49            50            57
          58            50            51
          50            58            57
          52            44            53
          44            43            35
          43            44            51
          44            52            51
          39            40            47
          39            31            40
          46            39            47
          38            39            46
          65            66            64
          31            39            30
          27            28            35
          27            20            28
          34            27            35
          20            27            19
          27            18            19
          18            27            26
          27            34            26
          63            58            59
          63            62            58
          50            42            43
          34            42            33
          42            34            43
          42            41            33
          41            42            49
          42            50            49
          44            45            53
          36            29            37
          36            28            29
          45            36            37
          36            45            44
          28            36            35
          36            44            35
          39            64            66
          38            65            64
          30            66            65
